City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Grindavik,63.8424,-22.4338,52.27,71,75,9.22,IS,1660414090
Kapaa,22.0752,-159.319,78.78,82,40,10.36,US,1660414092
Yeppoon,-23.1333,150.7333,56.98,89,42,4.38,AU,1660413804
George Town,5.4112,100.3354,80.89,82,20,3.44,MY,1660413605
Jamestown,42.097,-79.2353,79.02,35,20,10.36,US,1660413741
Ushuaia,-54.8,-68.3,37.0,57,73,7.78,AR,1660413637
Ancud,-41.8697,-73.8203,48.36,78,100,25.17,CL,1660413750
New Norfolk,-42.7826,147.0587,51.93,86,100,4.0,AU,1660414105
Saint George,37.1041,-113.5841,83.62,55,75,3.44,US,1660413617
Albany,42.6001,-73.9662,77.23,46,0,6.4,US,1660413599
Rikitea,-23.1203,-134.9692,73.44,77,33,21.0,PF,1660413722
Busselton,-33.65,115.3333,52.32,71,78,7.76,AU,1660413727
Port Alfred,-33.5906,26.891,51.19,97,99,0.67,ZA,1660413731
Punta Arenas,-53.15,-70.9167,37.51,75,100,20.71,CL,1660413984
Bengkulu,-3.8004,102.2655,76.06,89,100,2.77,ID,1660413772
Owen Sound,44.5672,-80.9435,76.32,55,82,3.0,CA,1660414122
Bredasdorp,-34.5322,20.0403,51.08,71,68,15.12,ZA,1660413768
Quang Ngai,15.1167,108.8,77.27,89,28,4.21,VN,1660414126
Balkanabat,39.5108,54.3671,92.37,15,0,10.98,TM,1660414129
Uruçuí,-7.2294,-44.5561,98.1,18,25,11.1,BR,1660414131
East London,-33.0153,27.9116,58.32,85,95,4.72,ZA,1660413721
Severo-Kuril'sk,50.6789,156.125,55.22,96,100,7.31,RU,1660413864
Bairiki Village,1.3292,172.9752,80.6,83,20,12.66,KI,1660413891
Faanui,-16.4833,-151.75,77.68,76,47,12.68,PF,1660413758
Tuatapere,-46.1333,167.6833,35.46,89,4,3.65,NZ,1660414142
Padang,-0.9492,100.3543,78.13,87,98,2.37,ID,1660413629
Provideniya,64.3833,-173.3,43.88,81,100,6.06,RU,1660413777
Sundumbili,-29.1337,31.3975,66.33,85,99,3.83,ZA,1660414149
Port Washington,40.8257,-73.6982,81.0,42,75,6.91,US,1660414151
Lata,40.1629,-8.3327,70.81,52,0,10.2,PT,1660413719
Yellowknife,62.456,-114.3525,68.56,60,5,10.0,CA,1660413716
Wuwei,37.9281,102.6414,73.65,66,100,4.7,CN,1660413771
Saskylakh,71.9167,114.0833,41.59,74,17,4.45,RU,1660413843
Pevek,69.7008,170.3133,32.99,86,97,6.13,RU,1660413813
Vaini,-21.2,-175.2,70.93,58,58,19.71,TO,1660413715
Torbay,47.6666,-52.7314,74.88,84,92,7.0,CA,1660413737
Hong Kong,22.2855,114.1577,83.32,87,3,5.01,HK,1660413527
Mataura,-46.1927,168.8643,44.47,98,12,2.89,NZ,1660413720
Chumikan,54.7183,135.315,53.89,95,100,1.68,RU,1660413780
Nikolskoye,59.7035,30.7861,67.89,76,99,4.72,RU,1660413735
Jiazi,22.8779,116.067,81.77,83,21,5.82,CN,1660414177
Mariehamn,60.0973,19.9348,67.86,73,0,8.05,AX,1660414179
Hilo,19.7297,-155.09,77.61,83,100,11.5,US,1660413607
Talaya,61.3833,152.75,52.72,90,63,3.2,RU,1660413797
Vao,-22.6667,167.4833,70.18,68,97,20.69,NC,1660413793
Kaeo,-35.1,173.7833,44.33,95,51,2.86,NZ,1660414188
Banjar,-8.19,114.9675,76.05,92,51,3.27,ID,1660414190
Rio Grande,-32.035,-52.0986,72.95,72,81,4.05,BR,1660413678
Vardø,70.3705,31.1107,53.58,66,100,6.91,NO,1660413774
Cockburn Town,21.4612,-71.1419,82.29,77,74,13.44,TC,1660413657
Hobyo,5.3505,48.5268,76.91,82,53,25.19,SO,1660413831
Lebu,-37.6167,-73.65,52.81,94,84,23.62,CL,1660413755
Mumford,5.2618,-0.759,75.36,84,76,17.45,GH,1660414203
Vestmannaeyjar,63.4427,-20.2734,49.19,85,100,10.0,IS,1660413862
Dzerzhinsk,56.2389,43.4631,66.02,93,0,0.0,RU,1660414208
Richards Bay,-28.783,32.0377,66.96,80,82,5.14,ZA,1660414210
Airai,-8.9266,125.4092,55.8,80,5,3.44,TL,1660413742
Jumla,29.2747,82.1838,62.33,93,64,1.32,NP,1660414214
Arraial do Cabo,-22.9661,-42.0278,70.43,63,31,19.73,BR,1660413805
General Roca,-39.0333,-67.5833,69.62,29,35,22.01,AR,1660413823
Acajutla,13.5928,-89.8275,83.43,76,98,5.23,SV,1660414221
Vila Velha,-20.3297,-40.2925,75.15,62,20,10.36,BR,1660413876
Anloga,5.7947,0.8973,75.49,86,70,17.52,GH,1660414225
Lokosovo,61.1333,74.8167,55.81,93,100,12.48,RU,1660414228
San Miguel,13.4833,-88.1833,90.66,54,91,1.79,SV,1660414078
Wainwright,52.839,-110.8572,67.19,80,82,11.72,CA,1660414232
Barrow,71.2906,-156.7887,33.82,86,100,11.5,US,1660413750
Mar del Plata,-38.0023,-57.5575,69.82,51,0,11.01,AR,1660413571
Miandrivazo,-19.5167,45.4667,71.89,59,0,3.83,MG,1660414239
Fortuna,40.5982,-124.1573,69.93,74,75,11.5,US,1660413985
Avarua,-21.2078,-159.775,73.45,94,75,2.3,CK,1660413728
Ambon City,-3.6954,128.1814,77.14,94,40,4.61,ID,1660414245
Bathsheba,13.2167,-59.5167,84.11,71,68,12.37,BB,1660413758
Bluff,-46.6,168.3333,44.8,72,3,18.48,NZ,1660414250
Chui,-33.6971,-53.4616,63.25,77,53,2.24,UY,1660413712
Beloha,-25.1667,45.05,66.34,66,0,4.09,MG,1660413898
Saint Paul Harbor,57.79,-152.4072,53.11,94,100,6.91,US,1660413789
Kiama,-34.6833,150.8667,53.38,71,68,3.0,AU,1660414258
Dikson,73.5069,80.5464,44.24,99,100,7.49,RU,1660413735
Cape Town,-33.9258,18.4232,53.11,85,91,5.01,ZA,1660413615
Honningsvåg,70.9821,25.9704,49.75,87,75,0.0,NO,1660414265
Bethel,41.3712,-73.414,78.58,52,0,1.01,US,1660413716
Hirara,24.8,125.2833,85.35,74,84,11.61,JP,1660413894
Shelbyville,35.4834,-86.4603,84.04,59,0,1.01,US,1660414109
Puerto Baquerizo Moreno,-0.9,-89.6,74.39,78,75,9.22,EC,1660414274
Nevers,46.9896,3.159,91.8,23,0,3.44,FR,1660414276
